	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
1	Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.669	36.0529	GCA_000001735.2	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1		7	38311.0	48265.0	2001/08/13	2022/10/20	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
20076	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	143.501	36.3502	GCA_946409825.1	chromosome 1:OX291666.1; chromosome 2:OX291667.1; chromosome 3:OX291668.1; chromosome 4:OX291669.1; chromosome 5:OX291670.1		5			2023/02/09	2023/02/10	Complete Genome	max planck institute for biology tuebingen	SAMEA110648803
20080	Arabidopsis thaliana	3702	PRJNA915353	915353	Plants	Land Plants	142.481	37.3051	GCA_028009825.2	chromosome 1:CP116280.1; chromosome 2:CP116281.2; chromosome 3:CP116282.1; chromosome 4:CP116283.2; chromosome 5:CP116284.1		5			2023/01/26	2023/01/26	Complete Genome	Community-Consensus Arabidopsis Thaliana Reference Genome Assembly Consortium	SAMN32386944
23218	Arabidopsis thaliana	3702	PRJNA828135	828135	Plants	Land Plants	132.081	36.2436	GCA_023115395.1	chromosome 1:CP096024.1; chromosome 2:CP096025.1; chromosome 3:CP096026.1; chromosome 4:CP096027.1; chromosome 5:CP096028.1; mitochondrion MT:CP096029.1; chloroplast Pltd:CP096030.1		7			2022/04/26	2022/04/26	Complete Genome	The Salk Institute for Biological Studies	SAMN27631187
23224	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	139.933	36.4989	GCA_946405265.1	chromosome 1:OX291486.1; chromosome 2:OX291487.1; chromosome 3:OX291488.1; chromosome 4:OX291489.1; chromosome 5:OX291490.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648819
24637	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	133.376	36.3976	GCA_946409395.1	chromosome 1:OX291655.1; chromosome 2:OX291659.1; chromosome 3:OX291656.1; chromosome 4:OX291657.1; chromosome 5:OX291658.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648788
24642	Arabidopsis thaliana	3702	PRJNA777107	777107	Plants	Land Plants	133.917	36.3667	GCA_020911765.2	chromosome 1:CP087126.2; chromosome 2:CP087127.2; chromosome 3:CP087128.1; chromosome 4:CP087129.2; chromosome 5:CP087130.2		5			2021/11/22	2022/07/13	Chromosome	Institute of Genetics and Developmental Biology, The Innovative Academy of Seed Design	SAMN22999947
25586	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	140.009	36.5245	GCA_946413285.1	chromosome 1:OX291750.1; chromosome 2:OX291751.1; chromosome 3:OX291752.1; chromosome 4:OX291753.1; chromosome 5:OX291754.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648809
25591	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.895	36.5433	GCA_946406595.1	chromosome 1:OX291576.1; chromosome 2:OX291577.1; chromosome 3:OX291578.1; chromosome 4:OX291579.1; chromosome 5:OX291580.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648781
26251	Arabidopsis thaliana	3702	PRJEB75768	1114544	Plants	Land Plants	137.252	36.3258	GCA_964057265.1	chromosome 1:OZ059919.1; chromosome 2:OZ059920.1; chromosome 3:OZ059921.1; chromosome 4:OZ059922.1; chromosome 5:OZ059923.1		5			2024/05/21	2024/05/22	Chromosome	max planck institute for biology tuebingen	SAMEA115622224
26253	Arabidopsis thaliana	3702	PRJEB75768	1114544	Plants	Land Plants	137.46	36.3579	GCA_964057275.1	chromosome 1:OZ059909.1; chromosome 2:OZ059910.1; chromosome 3:OZ059911.1; chromosome 4:OZ059912.1; chromosome 5:OZ059913.1		5			2024/05/21	2024/05/22	Chromosome	max planck institute for biology tuebingen	SAMEA115622222
26777	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	148.251	36.5538	GCA_946406895.1	chromosome 1:OX291595.1; chromosome 2:OX291596.1; chromosome 3:OX291597.1; chromosome 4:OX291598.1; chromosome 5:OX291599.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648776
26778	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	141.023	36.544	GCA_946411655.1	chromosome 1:OX291709.1; chromosome 2:OX291710.1; chromosome 3:OX291711.1; chromosome 4:OX291712.1; chromosome 5:OX291713.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648795
27209	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.599	36.4117	GCA_946415625.1	chromosome 1:OX291805.1; chromosome 2:OX291806.1; chromosome 3:OX291807.1; chromosome 4:OX291808.1; chromosome 5:OX291809.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648797
27210	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	139.083	36.4766	GCA_946407795.1	chromosome 1:OX291617.1; chromosome 2:OX291618.1; chromosome 3:OX291619.1; chromosome 4:OX291620.1; chromosome 5:OX291621.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648815
27592	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	140.384	36.3768	GCA_946414125.1	chromosome 1:OX291775.1; chromosome 2:OX291776.1; chromosome 3:OX291777.1; chromosome 4:OX291778.1; chromosome 5:OX291779.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648801
27595	Arabidopsis thaliana	3702	PRJEB75768	1114544	Plants	Land Plants	137.944	36.4071	GCA_964057255.1	chromosome 1:OZ059914.1; chromosome 2:OZ059915.1; chromosome 3:OZ059916.1; chromosome 4:OZ059917.1; chromosome 5:OZ059918.1		5			2024/05/21	2024/05/22	Chromosome	max planck institute for biology tuebingen	SAMEA115622223
27944	Arabidopsis thaliana	3702	PRJEB50694	811908	Plants	Land Plants	136.135	36.39	GCA_946499665.1	chromosome 1:OX298797.1; chromosome 2:OX298798.1; chromosome 3:OX298799.1; chromosome 4:OX298800.1; chromosome 5:OX298801.1		5			2022/08/25	2022/08/27	Chromosome	max planck institute for biology tuebingen	SAMEA13018399
27945	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.066	36.2947	GCA_946408365.1	chromosome 1:OX291622.1; chromosome 2:OX291623.1; chromosome 3:OX291624.1; chromosome 4:OX291625.1; chromosome 5:OX291626.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648799
28260	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.704	36.4113	GCA_946406975.1	chromosome 1:OX291600.1; chromosome 2:OX291601.1; chromosome 3:OX291602.1; chromosome 4:OX291603.1; chromosome 5:OX291604.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648789
28261	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.604	36.3582	GCA_946405525.1	chromosome 1:OX291508.1; chromosome 2:OX291509.1; chromosome 3:OX291510.1; chromosome 4:OX291511.1; chromosome 5:OX291512.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648791
28553	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.054	36.4439	GCA_946411885.1	chromosome 1:OX291719.1; chromosome 2:OX291720.1; chromosome 3:OX291721.1; chromosome 4:OX291722.1; chromosome 5:OX291723.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648820
28555	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	137.851	36.3751	GCA_946410485.1	chromosome 1:OX291682.1; chromosome 2:OX291683.1; chromosome 3:OX291684.1; chromosome 4:OX291685.1; chromosome 5:OX291686.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648810
28820	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	137.365	36.3657	GCA_946404385.1	chromosome 1:OX291460.1; chromosome 2:OX291461.1; chromosome 3:OX291462.1; chromosome 4:OX291463.1; chromosome 5:OX291464.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648783
28822	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	137.76	36.3868	GCA_946406625.1	chromosome 1:OX291581.1; chromosome 2:OX291582.1; chromosome 3:OX291583.1; chromosome 4:OX291584.1; chromosome 5:OX291585.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648808
29062	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.511	36.3342	GCA_946406525.1	chromosome 1:OX291571.1; chromosome 2:OX291572.1; chromosome 3:OX291573.1; chromosome 4:OX291574.1; chromosome 5:OX291575.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648802
29063	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.797	36.4151	GCA_946413405.1	chromosome 1:OX291760.1; chromosome 2:OX291761.1; chromosome 3:OX291762.1; chromosome 4:OX291763.1; chromosome 5:OX291764.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648798
29282	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	139.502	36.4606	GCA_946404515.1	chromosome 1:OX291465.1; chromosome 2:OX291466.1; chromosome 3:OX291467.1; chromosome 4:OX291468.1; chromosome 5:OX291469.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648822
29283	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.087	36.2788	GCA_946405545.1	chromosome 1:OX291513.1; chromosome 2:OX291514.1; chromosome 3:OX291515.1; chromosome 4:OX291516.1; chromosome 5:OX291517.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648812
29484	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.71	36.4461	GCA_946413305.1	chromosome 1:OX291755.1; chromosome 2:OX291756.1; chromosome 3:OX291757.1; chromosome 4:OX291758.1; chromosome 5:OX291759.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648818
29485	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.014	36.4222	GCA_946414305.1	chromosome 1:OX291781.1; chromosome 2:OX291782.1; chromosome 3:OX291783.1; chromosome 4:OX291784.1; chromosome 5:OX291785.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648806
29671	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	136.505	36.3391	GCA_949796645.1	chromosome 1:OX461135.1; chromosome 2:OX461136.1; chromosome 3:OX461137.1; chromosome 4:OX461138.1; chromosome 5:OX461139.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755672
29674	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.694	36.5058	GCA_946415165.1	chromosome 1:OX291791.1; chromosome 2:OX291792.1; chromosome 3:OX291793.1; chromosome 4:OX291794.1; chromosome 5:OX291795.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648807
29855	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.497	36.3518	GCA_946415005.1	chromosome 1:OX291786.1; chromosome 2:OX291787.1; chromosome 3:OX291788.1; chromosome 4:OX291789.1; chromosome 5:OX291790.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648778
29856	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.212	36.338	GCA_946403525.1	chromosome 1:OX291450.1; chromosome 2:OX291451.1; chromosome 3:OX291452.1; chromosome 4:OX291453.1; chromosome 5:OX291454.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648786
30026	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	138.593	36.2845	GCA_949796385.1	chromosome 1:OX461165.1; chromosome 2:OX461166.1; chromosome 3:OX461167.1; chromosome 4:OX461168.1; chromosome 5:OX461169.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755686
30027	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.578	36.3735	GCA_946408975.1	chromosome 1:OX291649.1; chromosome 2:OX291650.1; chromosome 3:OX291651.1; chromosome 4:OX291652.1; chromosome 5:OX291653.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648787
30187	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	133.702	36.2994	GCA_946412005.1	chromosome 1:OX291730.1; chromosome 2:OX291731.1; chromosome 3:OX291732.1; chromosome 4:OX291733.1; chromosome 5:OX291734.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648814
30189	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.903	36.4695	GCA_946406325.1	chromosome 1:OX291566.1; chromosome 2:OX291567.1; chromosome 3:OX291568.1; chromosome 4:OX291569.1; chromosome 5:OX291570.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648804
30338	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.18	36.4044	GCA_946403025.1	chromosome 1:OX291436.1; chromosome 2:OX291437.1; chromosome 3:OX291438.1; chromosome 4:OX291439.1; chromosome 5:OX291440.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648792
30341	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.187	36.4188	GCA_946412065.1	chromosome 1:OX291735.1; chromosome 2:OX291736.1; chromosome 3:OX291737.1; chromosome 4:OX291738.1; chromosome 5:OX291739.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648793
30477	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.915	36.2813	GCA_946409815.1	chromosome 1:OX291671.1; chromosome 2:OX291672.1; chromosome 3:OX291673.1; chromosome 4:OX291674.1; chromosome 5:OX291675.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648800
30480	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.495	36.4075	GCA_946411375.1	chromosome 1:OX291695.1; chromosome 2:OX291696.1; chromosome 3:OX291697.1; chromosome 4:OX291698.1; chromosome 5:OX291699.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648805
30611	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	133.039	36.2908	GCA_949796455.1	chromosome 1:OX461155.1; chromosome 2:OX461156.1; chromosome 3:OX461157.1; chromosome 4:OX461158.1; chromosome 5:OX461159.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755675
30614	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	140.706	36.4553	GCA_946413935.1	chromosome 1:OX291766.1; chromosome 2:OX291767.1; chromosome 3:OX291768.1; chromosome 4:OX291769.1; chromosome 5:OX291770.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648823
30735	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.923	36.3872	GCA_946406735.1	chromosome 1:OX291590.1; chromosome 2:OX291591.1; chromosome 3:OX291592.1; chromosome 4:OX291593.1; chromosome 5:OX291594.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648782
30736	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.875	36.3523	GCA_946404075.1	chromosome 1:OX291455.1; chromosome 2:OX291456.1; chromosome 3:OX291457.1; chromosome 4:OX291458.1; chromosome 5:OX291459.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648777
30856	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.715	36.4775	GCA_946415445.1	chromosome 1:OX291800.1; chromosome 2:OX291801.1; chromosome 3:OX291802.1; chromosome 4:OX291803.1; chromosome 5:OX291804.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648811
30857	Arabidopsis thaliana	3702	PRJEB37257	630635	Plants	Land Plants	118.889	36.1291	GCA_903064285.1	chromosome 1:LR797802.1; chromosome 2:LR797803.1; chromosome 3:LR797804.1; chromosome 4:LR797805.1; chromosome 5:LR797806.1		5			2020/05/15	2020/05/15	Chromosome	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6623702
30968	Arabidopsis thaliana	3702	PRJEB37258	630636	Plants	Land Plants	119.797	36.157	GCA_903064295.1	chromosome 1:LR797797.1; chromosome 2:LR797798.1; chromosome 3:LR797799.1; chromosome 4:LR797800.1; chromosome 5:LR797801.1		5			2020/05/15	2020/05/15	Chromosome	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6623703
30969	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.758	36.3366	GCA_946415655.1	chromosome 1:OX291810.1; chromosome 2:OX291811.1; chromosome 3:OX291812.1; chromosome 4:OX291813.1; chromosome 5:OX291814.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648794
31078	Arabidopsis thaliana	3702	PRJEB40125	662758	Plants	Land Plants	130.173	36.7061	GCA_904420315.1	chromosome 1:LR881466.1; chromosome 2:LR881467.1; chromosome 3:LR881468.1; chromosome 4:LR881469.1; chromosome 5:LR881470.1; mitochondrion MT:LR881472.1; chloroplast Pltd:LR881471.1		7	23404.0	23632.0	2020/09/11	2020/09/11	Chromosome	MAX-PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA7282576
31079	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	140.01	36.4102	GCA_946405725.1	chromosome 1:OX291518.1; chromosome 2:OX291519.1; chromosome 3:OX291520.1; chromosome 4:OX291521.1; chromosome 5:OX291522.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648817
